GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk,g20201103,p20200804,r20200714,s20200707,r20200707,r20200630,s20200623,pp20200310,s20200204,s20200121,s20191105,s20190820,r20190604,r20190521,g20181106,r20180911,p20180807,g20161108,p20160802,pp20160315,g20141104,p20140805,g20121106,p20120807,pp20120207,g20101102,p20100803
29001000002,001,000002,1264,22,73,69,66,171,194,276,220,142,31,742,250,272,0,0,1149,11,6,2,5,91,1149,6,10,0,0,1,3,0,1,2,0,0,0,0,0,0,0,1,0,0,91,1023,591,0,0,0,0,0,239,0,0,0,0,0,0,821,0,486,902,281,409,574,378,794,464,81,677,375
29001000003,001,000003,1381,11,207,171,126,228,158,180,181,86,33,335,518,528,0,0,1219,29,10,10,7,106,1219,10,29,4,3,2,1,1,1,1,3,1,0,0,0,0,0,0,0,0,106,882,435,0,0,0,0,0,330,0,0,0,0,0,0,683,0,369,724,223,391,395,279,576,292,59,413,221
29001000004,001,000004,1067,15,83,97,105,151,159,180,126,101,50,473,318,276,0,0,911,19,5,18,13,101,911,4,19,2,10,0,2,6,0,4,2,0,1,0,0,0,0,0,1,0,101,801,393,0,0,0,0,0,263,0,0,0,0,0,0,612,0,330,681,209,361,413,288,555,299,48,416,207
29001000005,001,000005,1474,12,99,101,82,215,201,214,275,193,81,744,398,332,0,0,1295,24,4,21,21,109,1295,3,24,5,7,7,9,3,3,1,0,2,0,0,0,1,1,0,2,0,109,1199,609,0,0,0,0,0,397,0,0,0,0,0,0,947,0,547,1026,326,572,644,470,896,430,92,711,375
29001000006,001,000006,1432,19,92,89,89,196,226,295,259,134,33,804,287,341,0,0,1286,17,0,8,20,101,1286,0,17,0,3,0,0,4,1,18,0,1,0,0,0,0,0,0,0,0,101,1094,615,0,0,0,0,0,264,0,0,0,0,0,0,858,0,486,963,275,509,564,382,823,435,86,687,421
29001000007,001,000007,2686,45,190,168,168,340,426,547,477,263,61,1619,489,578,0,0,2406,25,1,26,34,194,2406,1,25,6,10,6,7,2,1,11,7,0,1,0,2,0,3,0,0,4,194,2129,1088,0,0,0,0,0,584,0,0,0,0,0,0,1726,0,991,1837,567,945,1196,792,1621,887,146,1276,685
29001000008,001,000008,1930,24,252,181,122,266,262,291,284,165,82,939,479,512,0,0,1671,27,10,23,31,168,1671,10,27,10,9,8,2,1,4,7,1,0,0,0,4,0,0,0,5,0,168,1509,726,0,0,0,0,0,493,0,0,0,0,0,0,1178,0,677,1210,407,679,804,582,1038,515,125,804,431
29001000009,001,000009,1459,31,479,242,127,160,100,121,99,62,37,270,770,419,0,0,1078,35,141,24,17,164,1078,141,35,6,11,6,4,4,2,0,0,0,2,2,0,2,0,0,0,1,164,869,334,0,0,0,0,0,302,0,0,0,0,0,0,597,0,323,581,164,315,299,219,500,189,59,314,157
29001000010,001,000010,1134,10,162,148,118,163,121,175,142,63,31,319,369,446,0,0,986,18,13,16,12,89,986,13,18,3,3,7,1,2,1,1,2,0,0,0,0,2,1,0,2,0,89,693,284,0,0,0,0,0,233,0,0,0,0,0,0,482,0,234,523,134,262,246,169,410,203,51,295,149
29001000011,001,000011,157,8,88,37,14,7,2,1,0,0,0,1,131,25,0,0,116,10,4,5,4,18,116,4,10,1,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,18,57,11,0,0,0,0,0,22,0,0,0,0,0,0,38,0,10,37,3,13,4,2,21,2,0,2,1
