vtd_geoid20,total_reg,g20201103_voted_all,g20201103_reg_all,g20201103_pct_voted_all,g20201103_voted_eur,g20201103_reg_eur,g20201103_pct_voted_eur,g20201103_voted_hisp,g20201103_reg_hisp,g20201103_pct_voted_hisp,g20201103_voted_aa,g20201103_reg_aa,g20201103_pct_voted_aa,g20201103_voted_esa,g20201103_reg_esa,g20201103_pct_voted_esa,g20201103_voted_oth,g20201103_reg_oth,g20201103_pct_voted_oth,g20201103_voted_unk,g20201103_reg_unk,g20201103_pct_voted_unk,p20200804_voted_all,p20200804_reg_all,p20200804_pct_voted_all,p20200804_voted_eur,p20200804_reg_eur,p20200804_pct_voted_eur,p20200804_voted_hisp,p20200804_reg_hisp,p20200804_pct_voted_hisp,p20200804_voted_aa,p20200804_reg_aa,p20200804_pct_voted_aa,p20200804_voted_esa,p20200804_reg_esa,p20200804_pct_voted_esa,p20200804_voted_oth,p20200804_reg_oth,p20200804_pct_voted_oth,p20200804_voted_unk,p20200804_reg_unk,p20200804_pct_voted_unk,r20200714_voted_all,r20200714_reg_all,r20200714_pct_voted_all,r20200714_voted_eur,r20200714_reg_eur,r20200714_pct_voted_eur,r20200714_voted_hisp,r20200714_reg_hisp,r20200714_pct_voted_hisp,r20200714_voted_aa,r20200714_reg_aa,r20200714_pct_voted_aa,r20200714_voted_esa,r20200714_reg_esa,r20200714_pct_voted_esa,r20200714_voted_oth,r20200714_reg_oth,r20200714_pct_voted_oth,r20200714_voted_unk,r20200714_reg_unk,r20200714_pct_voted_unk,s20200707_voted_all,s20200707_reg_all,s20200707_pct_voted_all,s20200707_voted_eur,s20200707_reg_eur,s20200707_pct_voted_eur,s20200707_voted_hisp,s20200707_reg_hisp,s20200707_pct_voted_hisp,s20200707_voted_aa,s20200707_reg_aa,s20200707_pct_voted_aa,s20200707_voted_esa,s20200707_reg_esa,s20200707_pct_voted_esa,s20200707_voted_oth,s20200707_reg_oth,s20200707_pct_voted_oth,s20200707_voted_unk,s20200707_reg_unk,s20200707_pct_voted_unk,r20200707_voted_all,r20200707_reg_all,r20200707_pct_voted_all,r20200707_voted_eur,r20200707_reg_eur,r20200707_pct_voted_eur,r20200707_voted_hisp,r20200707_reg_hisp,r20200707_pct_voted_hisp,r20200707_voted_aa,r20200707_reg_aa,r20200707_pct_voted_aa,r20200707_voted_esa,r20200707_reg_esa,r20200707_pct_voted_esa,r20200707_voted_oth,r20200707_reg_oth,r20200707_pct_voted_oth,r20200707_voted_unk,r20200707_reg_unk,r20200707_pct_voted_unk,r20200630_voted_all,r20200630_reg_all,r20200630_pct_voted_all,r20200630_voted_eur,r20200630_reg_eur,r20200630_pct_voted_eur,r20200630_voted_hisp,r20200630_reg_hisp,r20200630_pct_voted_hisp,r20200630_voted_aa,r20200630_reg_aa,r20200630_pct_voted_aa,r20200630_voted_esa,r20200630_reg_esa,r20200630_pct_voted_esa,r20200630_voted_oth,r20200630_reg_oth,r20200630_pct_voted_oth,r20200630_voted_unk,r20200630_reg_unk,r20200630_pct_voted_unk,s20200623_voted_all,s20200623_reg_all,s20200623_pct_voted_all,s20200623_voted_eur,s20200623_reg_eur,s20200623_pct_voted_eur,s20200623_voted_hisp,s20200623_reg_hisp,s20200623_pct_voted_hisp,s20200623_voted_aa,s20200623_reg_aa,s20200623_pct_voted_aa,s20200623_voted_esa,s20200623_reg_esa,s20200623_pct_voted_esa,s20200623_voted_oth,s20200623_reg_oth,s20200623_pct_voted_oth,s20200623_voted_unk,s20200623_reg_unk,s20200623_pct_voted_unk,pp20200310_voted_all,pp20200310_reg_all,pp20200310_pct_voted_all,pp20200310_voted_eur,pp20200310_reg_eur,pp20200310_pct_voted_eur,pp20200310_voted_hisp,pp20200310_reg_hisp,pp20200310_pct_voted_hisp,pp20200310_voted_aa,pp20200310_reg_aa,pp20200310_pct_voted_aa,pp20200310_voted_esa,pp20200310_reg_esa,pp20200310_pct_voted_esa,pp20200310_voted_oth,pp20200310_reg_oth,pp20200310_pct_voted_oth,pp20200310_voted_unk,pp20200310_reg_unk,pp20200310_pct_voted_unk,s20200204_voted_all,s20200204_reg_all,s20200204_pct_voted_all,s20200204_voted_eur,s20200204_reg_eur,s20200204_pct_voted_eur,s20200204_voted_hisp,s20200204_reg_hisp,s20200204_pct_voted_hisp,s20200204_voted_aa,s20200204_reg_aa,s20200204_pct_voted_aa,s20200204_voted_esa,s20200204_reg_esa,s20200204_pct_voted_esa,s20200204_voted_oth,s20200204_reg_oth,s20200204_pct_voted_oth,s20200204_voted_unk,s20200204_reg_unk,s20200204_pct_voted_unk,s20200121_voted_all,s20200121_reg_all,s20200121_pct_voted_all,s20200121_voted_eur,s20200121_reg_eur,s20200121_pct_voted_eur,s20200121_voted_hisp,s20200121_reg_hisp,s20200121_pct_voted_hisp,s20200121_voted_aa,s20200121_reg_aa,s20200121_pct_voted_aa,s20200121_voted_esa,s20200121_reg_esa,s20200121_pct_voted_esa,s20200121_voted_oth,s20200121_reg_oth,s20200121_pct_voted_oth,s20200121_voted_unk,s20200121_reg_unk,s20200121_pct_voted_unk
29005000004,1437,1067,1428,0.74719999999999998,940,1263,0.74429999999999996,8,12,0.66669999999999996,0,1,0,1,1,1,0,3,0,118,148,0.7972999999999999,610,1397,0.43660000000000004,529,1240,0.42659999999999998,2,12,0.16669999999999999,0,1,0,0,1,0,0,3,0,79,140,0.56429999999999991,0,1390,0,0,1234,0,0,12,0,0,1,0,0,1,0,0,3,0,0,139,0,0,1387,0,0,1231,0,0,12,0,0,1,0,0,1,0,0,3,0,0,139,0,0,1387,0,0,1231,0,0,12,0,0,1,0,0,1,0,0,3,0,0,139,0,0,1386,0,0,1231,0,0,12,0,0,1,0,0,1,0,0,3,0,0,138,0,0,1386,0,0,1231,0,0,12,0,0,1,0,0,1,0,0,3,0,0,138,0,269,1376,0.19550000000000001,238,1223,0.19460000000000002,3,12,0.25,0,1,0,0,1,0,0,3,0,28,136,0.20590000000000003,0,1361,0,0,1208,0,0,12,0,0,1,0,0,1,0,0,3,0,0,136,0,0,1355,0,0,1202,0,0,12,0,0,1,0,0,1,0,0,3,0,0,136,0
29007000510,455,349,453,0.77039999999999986,295,386,0.76419999999999999,0,2,0,1,1,1,0,0,,0,1,0,53,63,0.84130000000000005,123,435,0.28280000000000005,104,373,0.27880000000000005,0,2,0,0,1,0,0,0,,0,1,0,19,58,0.32760000000000006,0,435,0,0,373,0,0,2,0,0,1,0,0,0,,0,1,0,0,58,0,0,435,0,0,373,0,0,2,0,0,1,0,0,0,,0,1,0,0,58,0,0,435,0,0,373,0,0,2,0,0,1,0,0,0,,0,1,0,0,58,0,0,435,0,0,373,0,0,2,0,0,1,0,0,0,,0,1,0,0,58,0,0,435,0,0,373,0,0,2,0,0,1,0,0,0,,0,1,0,0,58,0,104,431,0.24130000000000001,93,370,0.25140000000000001,0,1,0,0,1,0,0,0,,0,1,0,11,58,0.18969999999999998,0,427,0,0,367,0,0,1,0,0,1,0,0,0,,0,1,0,0,57,0,0,427,0,0,367,0,0,1,0,0,1,0,0,0,,0,1,0,0,57,0
29007000642,1453,1078,1445,0.74599999999999989,929,1241,0.74859999999999993,5,13,0.3846,18,26,0.69229999999999992,6,9,0.66669999999999996,14,15,0.93330000000000002,106,141,0.75179999999999991,428,1408,0.30399999999999999,366,1209,0.30270000000000002,2,13,0.15379999999999999,6,25,0.23999999999999999,0,6,0,4,15,0.26669999999999999,50,140,0.35710000000000003,0,1407,0,0,1208,0,0,13,0,0,25,0,0,6,0,0,15,0,0,140,0,0,1406,0,0,1207,0,0,13,0,0,25,0,0,6,0,0,15,0,0,140,0,0,1406,0,0,1207,0,0,13,0,0,25,0,0,6,0,0,15,0,0,140,0,0,1403,0,0,1205,0,0,13,0,0,24,0,0,6,0,0,15,0,0,140,0,0,1402,0,0,1204,0,0,13,0,0,24,0,0,6,0,0,15,0,0,140,0,381,1391,0.27389999999999998,328,1194,0.2747,0,13,0,8,24,0.33329999999999999,0,6,0,3,14,0.21429999999999999,42,140,0.29999999999999999,0,1375,0,0,1180,0,0,13,0,0,24,0,0,6,0,0,14,0,0,138,0,0,1372,0,0,1179,0,0,13,0,0,24,0,0,6,0,0,14,0,0,136,0
29007000513,1875,1359,1870,0.72670000000000001,1178,1610,0.73170000000000002,9,20,0.45000000000000001,41,60,0.68330000000000002,10,14,0.71429999999999993,4,7,0.57140000000000002,117,159,0.73580000000000001,463,1814,0.25519999999999998,413,1558,0.2651,1,19,0.052600000000000001,7,60,0.1167,4,14,0.28570000000000001,3,7,0.42859999999999998,35,156,0.22440000000000002,0,1809,0,0,1556,0,0,19,0,0,60,0,0,14,0,0,6,0,0,154,0,0,1806,0,0,1553,0,0,19,0,0,60,0,0,14,0,0,6,0,0,154,0,0,1806,0,0,1553,0,0,19,0,0,60,0,0,14,0,0,6,0,0,154,0,0,1805,0,0,1552,0,0,19,0,0,60,0,0,14,0,0,6,0,0,154,0,0,1804,0,0,1551,0,0,19,0,0,60,0,0,14,0,0,6,0,0,154,0,335,1792,0.18690000000000001,292,1541,0.1895,1,19,0.052600000000000001,7,60,0.1167,2,14,0.1429,3,6,0.5,30,152,0.19740000000000002,0,1773,0,0,1523,0,0,19,0,0,60,0,0,14,0,0,6,0,0,151,0,0,1771,0,0,1521,0,0,19,0,0,60,0,0,14,0,0,6,0,0,151,0
29009000015,3951,2540,3921,0.64779999999999993,2118,3067,0.6906000000000001,202,497,0.40639999999999998,4,5,0.80000000000000004,32,58,0.55170000000000008,10,17,0.58820000000000006,174,277,0.62820000000000009,1022,3750,0.27250000000000002,909,2953,0.30780000000000002,28,458,0.061100000000000002,1,5,0.20000000000000001,13,54,0.2407,5,15,0.33329999999999999,66,265,0.24910000000000002,0,3731,0,0,2943,0,0,452,0,0,5,0,0,54,0,0,15,0,0,262,0,0,3729,0,0,2941,0,0,452,0,0,5,0,0,54,0,0,15,0,0,262,0,0,3729,0,0,2941,0,0,452,0,0,5,0,0,54,0,0,15,0,0,262,0,0,3723,0,0,2937,0,0,450,0,0,5,0,0,54,0,0,15,0,0,262,0,0,3718,0,0,2933,0,0,450,0,0,5,0,0,54,0,0,15,0,0,261,0,670,3676,0.18229999999999999,564,2912,0.19369999999999998,47,439,0.1071,2,5,0.40000000000000002,6,51,0.1176,3,14,0.21429999999999999,48,255,0.18820000000000001,0,3618,0,0,2878,0,0,421,0,0,5,0,0,50,0,0,13,0,0,251,0,0,3613,0,0,2875,0,0,420,0,0,5,0,0,49,0,0,13,0,0,251,0
29003000007,1247,1007,1244,0.80950000000000011,871,1072,0.8125,9,14,0.64289999999999992,3,3,1,11,11,1,8,11,0.72729999999999984,105,133,0.78950000000000009,414,1210,0.34210000000000002,374,1047,0.35720000000000002,4,13,0.30769999999999997,1,3,0.33329999999999999,2,10,0.20000000000000001,4,11,0.36360000000000003,29,126,0.23020000000000002,0,1205,0,0,1044,0,0,13,0,0,3,0,0,9,0,0,11,0,0,125,0,0,1203,0,0,1042,0,0,13,0,0,3,0,0,9,0,0,11,0,0,125,0,0,1203,0,0,1042,0,0,13,0,0,3,0,0,9,0,0,11,0,0,125,0,0,1203,0,0,1042,0,0,13,0,0,3,0,0,9,0,0,11,0,0,125,0,0,1202,0,0,1041,0,0,13,0,0,3,0,0,9,0,0,11,0,0,125,0,233,1192,0.19550000000000001,208,1034,0.20119999999999996,1,12,0.083299999999999999,1,3,0.33329999999999999,1,8,0.125,3,11,0.2727,19,124,0.15319999999999998,0,1185,0,0,1027,0,0,12,0,0,3,0,0,8,0,0,11,0,0,124,0,0,1182,0,0,1024,0,0,12,0,0,3,0,0,8,0,0,11,0,0,124,0
29003000003,1127,860,1122,0.76650000000000007,782,1012,0.77270000000000016,14,26,0.53849999999999998,1,2,0.5,3,6,0.5,4,5,0.80000000000000004,56,71,0.78870000000000007,331,1082,0.30589999999999995,307,979,0.31359999999999999,5,24,0.20830000000000001,0,0,,1,6,0.16669999999999999,2,5,0.40000000000000002,16,68,0.23530000000000001,0,1079,0,0,977,0,0,24,0,0,0,,0,6,0,0,5,0,0,67,0,0,1078,0,0,976,0,0,24,0,0,0,,0,6,0,0,5,0,0,67,0,0,1078,0,0,976,0,0,24,0,0,0,,0,6,0,0,5,0,0,67,0,0,1075,0,0,974,0,0,24,0,0,0,,0,6,0,0,5,0,0,66,0,0,1072,0,0,971,0,0,24,0,0,0,,0,6,0,0,5,0,0,66,0,240,1063,0.2258,225,964,0.2334,1,22,0.045499999999999999,0,0,,0,6,0,0,5,0,14,66,0.21210000000000001,0,1056,0,0,958,0,0,22,0,0,0,,0,6,0,0,5,0,0,65,0,0,1055,0,0,957,0,0,22,0,0,0,,0,6,0,0,5,0,0,65,0
29009000006,2116,1655,2113,0.78320000000000012,1477,1885,0.78360000000000007,28,37,0.75679999999999992,0,0,,8,15,0.5333,12,16,0.75,130,160,0.8125,918,1999,0.45920000000000005,833,1789,0.46560000000000007,14,34,0.41180000000000005,0,0,,4,14,0.28570000000000001,8,16,0.5,59,146,0.40410000000000001,0,1986,0,0,1779,0,0,34,0,0,0,,0,14,0,0,16,0,0,143,0,0,1980,0,0,1774,0,0,34,0,0,0,,0,14,0,0,16,0,0,142,0,0,1980,0,0,1774,0,0,34,0,0,0,,0,14,0,0,16,0,0,142,0,0,1974,0,0,1769,0,0,34,0,0,0,,0,14,0,0,16,0,0,141,0,0,1967,0,0,1764,0,0,34,0,0,0,,0,14,0,0,16,0,0,139,0,457,1945,0.23500000000000001,419,1746,0.23999999999999999,3,32,0.093799999999999994,0,0,,1,13,0.076899999999999996,4,16,0.25,30,138,0.21740000000000004,0,1927,0,0,1731,0,0,31,0,0,0,,0,12,0,0,16,0,0,137,0,0,1925,0,0,1729,0,0,31,0,0,0,,0,12,0,0,16,0,0,137,0
29009000020,1134,766,1128,0.67909999999999993,691,1009,0.68479999999999985,15,29,0.5172000000000001,1,2,0.5,4,7,0.57140000000000002,2,3,0.66669999999999996,53,78,0.67949999999999999,331,1038,0.31889999999999996,303,934,0.32439999999999997,3,28,0.1071,0,2,0,0,7,0,2,3,0.66669999999999996,23,64,0.3594,0,1031,0,0,927,0,0,28,0,0,2,0,0,7,0,0,3,0,0,64,0,0,1028,0,0,924,0,0,28,0,0,2,0,0,7,0,0,3,0,0,64,0,0,1028,0,0,924,0,0,28,0,0,2,0,0,7,0,0,3,0,0,64,0,0,1023,0,0,920,0,0,27,0,0,2,0,0,7,0,0,3,0,0,64,0,0,1023,0,0,920,0,0,27,0,0,2,0,0,7,0,0,3,0,0,64,0,192,1007,0.19070000000000001,177,907,0.1951,2,26,0.076899999999999996,0,2,0,0,7,0,0,3,0,13,62,0.2097,0,984,0,0,889,0,0,26,0,0,2,0,0,7,0,0,3,0,0,57,0,0,983,0,0,888,0,0,26,0,0,2,0,0,7,0,0,3,0,0,57,0
290150012-6,3837,2720,3804,0.71500000000000008,2413,3354,0.71940000000000004,35,62,0.5645,7,10,0.69999999999999996,10,16,0.625,14,22,0.63639999999999997,241,340,0.70879999999999987,1155,3687,0.31330000000000002,1024,3255,0.31459999999999999,9,61,0.14750000000000002,6,10,0.59999999999999998,4,14,0.28570000000000001,9,22,0.40910000000000002,103,325,0.31689999999999996,0,3662,0,0,3233,0,0,61,0,0,10,0,0,14,0,0,21,0,0,323,0,0,3661,0,0,3233,0,0,61,0,0,10,0,0,14,0,0,21,0,0,322,0,0,3661,0,0,3233,0,0,61,0,0,10,0,0,14,0,0,21,0,0,322,0,0,3656,0,0,3229,0,0,60,0,0,10,0,0,14,0,0,21,0,0,322,0,0,3653,0,0,3226,0,0,60,0,0,10,0,0,14,0,0,21,0,0,322,0,730,3604,0.20259999999999997,637,3184,0.2001,10,59,0.16949999999999998,5,10,0.5,2,14,0.1429,4,21,0.1905,72,316,0.2278,0,3574,0,0,3158,0,0,58,0,0,10,0,0,14,0,0,21,0,0,313,0,0,3567,0,0,3151,0,0,58,0,0,10,0,0,14,0,0,21,0,0,313,0
