FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,VTD,VTDI,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MO,700,00,00,000,0042955,7000000US29001000002,29001000002,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000002,P,491758215,171458,Brashear,Brashear Voting District,S,2132,906,+40.1524418,-092.4275855,V2,29001000002,2132,2065,2043,2,3,12,2,3,67,63,9,31,1,0,20,0,0,1,0,0,0,1,0,0,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,18,2114,2057,2038,2,3,12,2,0,57,54,8,31,1,0,13,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577,1537,1516,2,3,11,2,3,40,37,3,23,0,0,10,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577,13,1564,1532,1514,2,3,11,2,0,32,30,3,23,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,815,91,0,0,0,0,0,0,0,0,0,0
PLST,MO,700,00,00,000,0042956,7000000US29001000003,29001000003,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000003,P,2809886,0,Northeast 4,Northeast 4 Voting District,S,2768,1561,+40.1959940,-092.5775758,V2,29001000003,2768,2594,2191,306,12,42,3,40,174,159,27,78,21,0,23,3,0,0,3,0,0,3,0,1,0,13,7,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768,103,2665,2520,2159,306,8,42,3,2,145,134,26,76,21,0,5,3,0,0,3,0,0,0,0,0,0,11,7,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,2154,1840,226,10,38,3,37,128,118,7,69,15,0,18,3,0,0,3,0,0,3,0,0,0,8,3,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,89,2193,2085,1811,226,6,38,3,1,108,101,7,69,15,0,4,3,0,0,3,0,0,0,0,0,0,7,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,1379,182,50,50,50,0,0,0,0,0,0,0
PLST,MO,700,00,00,000,0042957,7000000US29001000004,29001000004,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000004,P,4023644,0,Northeast 5,Northeast 5 Voting District,S,1966,903,+40.2035349,-092.5749379,V2,29001000004,1966,1868,1594,215,1,35,1,22,98,89,17,33,11,0,25,0,0,0,0,0,0,0,1,2,0,9,2,1,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,57,1909,1826,1575,211,1,35,1,3,83,74,17,33,11,0,12,0,0,0,0,0,0,0,1,0,0,9,2,1,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,1409,1234,134,0,26,0,15,59,54,7,18,9,0,20,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,30,1438,1387,1226,133,0,26,0,2,51,46,7,18,9,0,12,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,819,84,0,0,0,0,0,0,0,0,0,0
PLST,MO,700,00,00,000,0042958,7000000US29001000005,29001000005,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000005,P,9418616,12948,Northeast 6,Northeast 6 Voting District,S,2343,1099,+40.2224463,-092.5737402,V2,29001000005,2343,2213,1936,175,4,66,0,32,130,117,15,45,12,0,43,0,1,0,0,0,0,0,1,0,0,12,7,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2343,66,2277,2172,1927,174,1,66,0,4,105,92,15,45,12,0,18,0,1,0,0,0,0,0,1,0,0,12,7,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1828,1736,1554,108,4,49,0,21,92,83,11,36,7,0,28,0,1,0,0,0,0,0,0,0,0,8,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1828,46,1782,1708,1547,108,1,49,0,3,74,65,11,36,7,0,10,0,1,0,0,0,0,0,0,0,0,8,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1099,1012,87,1,0,0,0,0,0,1,0,0,1
PLST,MO,700,00,00,000,0042959,7000000US29001000006,29001000006,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000006,P,551894560,413145,Novinger,Novinger Voting District,S,2055,1051,+40.2125033,-092.7343526,V2,29001000006,2055,2002,1968,3,4,13,0,14,53,48,5,24,4,0,14,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055,36,2019,1977,1953,2,3,13,0,6,42,40,5,24,4,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,1582,1560,3,4,13,0,2,32,31,2,18,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,23,1591,1568,1548,2,3,13,0,2,23,23,2,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,873,178,0,0,0,0,0,0,0,0,0,0
PLST,MO,700,00,00,000,0042960,7000000US29001000007,29001000007,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000007,P,388449784,4788079,Rural Benton,Rural Benton Voting District,S,3597,1567,+40.1703488,-092.5969579,V2,29001000007,3597,3452,3408,3,6,23,1,11,145,136,7,73,9,0,43,0,0,0,1,0,0,3,0,0,0,9,1,1,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597,46,3551,3422,3380,2,6,23,1,10,129,122,7,72,9,0,32,0,0,0,1,0,0,1,0,0,0,7,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,2632,2596,2,6,21,0,7,109,102,5,54,9,0,30,0,0,0,1,0,0,3,0,0,0,7,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,31,2710,2614,2579,2,6,21,0,6,96,91,5,54,9,0,21,0,0,0,1,0,0,1,0,0,0,5,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,1339,228,0,0,0,0,0,0,0,0,0,0
PLST,MO,700,00,00,000,0042961,7000000US29001000008,29001000008,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000008,P,11256938,69360,Southeast 2,Southeast 2 Voting District,S,3493,1592,+40.1759904,-092.5776545,V2,29001000008,3493,3311,3009,173,6,93,1,29,182,166,50,49,15,0,49,0,0,1,0,0,2,0,0,0,0,15,1,4,2,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3493,101,3392,3238,2965,170,6,93,1,3,154,140,50,49,15,0,25,0,0,1,0,0,0,0,0,0,0,14,1,4,2,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766,2639,2411,115,6,84,1,22,127,121,25,42,8,0,45,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766,77,2689,2586,2380,113,6,84,1,2,103,98,25,42,8,0,22,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,1424,168,302,138,0,0,123,15,164,140,0,24
PLST,MO,700,00,00,000,0042962,7000000US29001000009,29001000009,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000009,P,1883315,0,Southeast 3,Southeast 3 Voting District,S,2336,1330,+40.1901125,-092.5761038,V2,29001000009,2336,2204,1825,157,4,190,0,28,132,119,23,31,28,1,33,0,0,1,0,0,0,0,0,2,0,12,4,2,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336,83,2253,2153,1797,156,4,188,0,8,100,90,21,29,28,1,10,0,0,1,0,0,0,0,0,0,0,10,4,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,1960,1625,129,4,176,0,26,80,69,13,19,15,0,22,0,0,0,0,0,0,0,0,0,0,10,4,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,60,1980,1915,1601,129,4,174,0,7,65,56,13,19,15,0,9,0,0,0,0,0,0,0,0,0,0,9,4,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,1126,204,59,0,0,0,0,0,59,59,0,0
PLST,MO,700,00,00,000,0042963,7000000US29001000010,29001000010,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000010,P,7420155,13517,Southwest 1,Southwest 1 Voting District,S,2494,1307,+40.1976133,-092.5892927,V2,29001000010,2494,2335,2088,115,11,91,2,28,159,150,31,61,17,0,39,1,0,0,1,0,0,0,0,0,0,9,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2494,76,2418,2280,2055,112,9,91,2,11,138,130,31,61,17,0,20,1,0,0,0,0,0,0,0,0,0,8,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,1901,1710,82,8,78,1,22,123,116,18,50,10,0,36,1,0,0,1,0,0,0,0,0,0,7,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,57,1967,1863,1689,82,6,78,1,7,104,98,18,50,10,0,19,1,0,0,0,0,0,0,0,0,0,6,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,1093,214,133,91,0,20,71,0,42,41,0,1
PLST,MO,700,00,00,000,0042964,7000000US29001000011,29001000011,2,4,29,01779791,001,H1,00765805,28860,2,999,99999,000011,P,446946,0,Truman State University,Truman State University Voting District,S,2130,22,+40.1846096,-092.5810241,V2,29001000011,2130,2059,1781,130,0,122,3,23,71,68,19,2,24,0,13,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130,75,2055,1999,1741,130,0,122,3,3,56,55,19,2,24,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,2052,1779,125,0,122,3,23,68,67,18,2,24,0,13,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,73,2047,1992,1739,125,0,122,3,3,55,54,18,2,24,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,16,2092,0,0,0,0,0,2092,2092,0,0
